19/09/20 21:20:17 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000405.JPEG.jpg , Iteration 0 , takes 0.006583767 s, throughput is 151.89 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000637.JPEG.jpg , Iteration 0 , takes 0.006565967 s, throughput is 152.30 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000415.JPEG.jpg , Iteration 0 , takes 0.006525984 s, throughput is 153.23 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000324.JPEG.jpg , Iteration 0 , takes 0.006740522 s, throughput is 148.36 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000881.JPEG.jpg , Iteration 0 , takes 0.006647126 s, throughput is 150.44 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000285.JPEG.jpg , Iteration 0 , takes 0.006545236 s, throughput is 152.78 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000225.JPEG.jpg , Iteration 0 , takes 0.006567199 s, throughput is 152.27 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000490.JPEG.jpg , Iteration 0 , takes 0.006565333 s, throughput is 152.32 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000235.JPEG.jpg , Iteration 0 , takes 0.006511544 s, throughput is 153.57 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000423.JPEG.jpg , Iteration 0 , takes 0.006587603 s, throughput is 151.80 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000350.JPEG.jpg , Iteration 0 , takes 0.006565826 s, throughput is 152.30 imgs/sec
